Site,Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
LAG,6,BRARE,61,0.048760991,11.1691,13,16.6286,2,1.1712,0
LAG,6,brodia,5,0.003996803,0.9155,0,1.363,2,0.096,0
LAG,6,brohor,1,0.000799361,0.1831,0,0.2726,0,0.0192,0
LAG,6,bromad,39,0.03117506,7.1409,0,10.6314,21,0.7488,1
LAG,6,bromus2,1,0.000799361,0.1831,0,0.2726,1,0.0192,0
LAG,6,BRORU,11,0.008792966,2.0141,1,2.9986,1,0.2112,1
LAG,6,bupba,2,0.001598721,0.3662,0,0.5452,0,0.0384,0
LAG,6,BUPLEU,3,0.002398082,0.5493,0,0.8178,1,0.0576,0
LAG,6,centa,6,0.004796163,1.0986,0,1.6356,2,0.1152,0
LAG,6,crepis,11,0.008792966,2.0141,1,2.9986,3,0.2112,0
LAG,6,cruci,2,0.001598721,0.3662,0,0.5452,0,0.0384,0
LAG,6,DACT,44,0.035171863,8.0564,10,11.9944,9,0.8448,0
LAG,6,DIPCA,10,0.007993605,1.831,2,2.726,0,0.192,0
LAG,6,diplovir,1,0.000799361,0.1831,0,0.2726,0,0.0192,0
LAG,6,euphe,2,0.001598721,0.3662,2,0.5452,0,0.0384,0
LAG,6,FILAGO,2,0.001598721,0.3662,0,0.5452,1,0.0384,0
LAG,6,GALIVE,6,0.004796163,1.0986,1,1.6356,2,0.1152,0
LAG,6,geranium,5,0.003996803,0.9155,1,1.363,0,0.096,1
LAG,6,hedyp,4,0.003197442,0.7324,0,1.0904,2,0.0768,0
LAG,6,HELIPI,3,0.002398082,0.5493,1,0.8178,0,0.0576,0
LAG,6,HELISA,5,0.003996803,0.9155,2,1.363,0,0.096,0
LAG,6,HORDEUM,102,0.081534772,18.6762,19,27.8052,16,1.9584,0
LAG,6,HYP,5,0.003996803,0.9155,3,1.363,0,0.096,0
LAG,6,koelerval,6,0.004796163,1.0986,1,1.6356,0,0.1152,1
LAG,6,LINU,7,0.005595524,1.2817,2,1.9082,3,0.1344,0
LAG,6,lope,2,0.001598721,0.3662,0,0.5452,1,0.0384,0
LAG,6,lygi,341,0.272581934,62.4371,19,NA,NA,6.5472,6
LAG,6,malcomia,11,0.008792966,2.0141,0,2.9986,0,0.2112,0
LAG,6,mantisal,6,0.004796163,1.0986,0,1.6356,1,0.1152,0
LAG,6,MEDI,2,0.001598721,0.3662,2,0.5452,0,0.0384,0
LAG,6,MEDILIT,46,0.036770584,8.4226,4,12.5396,18,0.8832,0
LAG,6,melica,3,0.002398082,0.5493,0,0.8178,2,0.0576,0
LAG,6,NEATOS,7,0.005595524,1.2817,2,1.9082,3,0.1344,0
LAG,6,PEGANUM,4,0.003197442,0.7324,1,1.0904,0,0.0768,0
LAG,6,PLAL,148,0.118305356,27.0988,27,40.3448,25,2.8416,4
LAG,6,plalag,22,0.017585931,4.0282,2,5.9972,6,0.4224,2
LAG,6,poabul,2,0.001598721,0.3662,0,0.5452,0,0.0384,0
LAG,6,POLYGALA,2,0.001598721,0.3662,1,0.5452,0,0.0384,0
LAG,6,rapis,11,0.008792966,2.0141,0,2.9986,2,0.2112,0
LAG,6,RESE,4,0.003197442,0.7324,0,1.0904,1,0.0768,0
LAG,6,ROME,2,0.001598721,0.3662,0,0.5452,0,0.0384,0
LAG,6,save,24,0.019184652,4.3944,6,6.5424,4,NA,NA
LAG,6,scabiosa,1,0.000799361,0.1831,1,0.2726,0,0.0192,0
LAG,6,SENECIO,1,0.000799361,0.1831,0,0.2726,0,0.0192,0
LAG,6,sisymbrium,4,0.003197442,0.7324,0,1.0904,1,0.0768,0
LAG,6,sonchus,4,0.003197442,0.7324,2,1.0904,0,0.0768,0
LAG,6,SPERGULA,30,0.023980815,5.493,7,8.178,13,0.576,1
LAG,6,STIPALAG,340,0.271782574,62.254,105,92.684,24,6.528,15
LAG,6,taenia,4,0.003197442,0.7324,0,1.0904,0,0.0768,0
